"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
97,2218041,5.54,t,"2018-10-13 00:00:00",46,1.54317548746518,2.38793103448276,-3.03728070175439,0.373063973063973,0.75886524822695,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,f
97,2622787,4.77,t,"2019-03-07 00:00:00",46,1.32869080779944,2.05603448275862,-2.61513157894737,0.321212121212121,0.576832151300236,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,t
97,2986677,2.56,t,"2019-08-24 00:00:00",46,0.713091922005571,1.10344827586207,-1.40350877192982,0.172390572390572,0.0543735224586288,75.62,18.3,1.63,-30.63,950.79,2.62,303330000,t
100,2022819,60.44,t,"2018-12-22 00:00:00",47,3.01296111665005,9.07507507507508,17.9880952380952,1.89585947302384,0.082324455205811,96.64,1.89,7.6,17.53,80.05,3.19,2530000000,t
101,2184606,44.18,t,"2018-10-24 00:00:00",29,0.600027162841233,2.14361960213489,-315.571428571429,0.794890248290752,0.374241717218852,92.01,0.14,0.32,0.86,54.9,0.68,47570000000,f
101,2052324,37.9,t,"2018-12-08 00:00:00",29,0.514735841369007,1.83891314895682,-270.714285714286,0.681899964015833,0.0811945870275316,92.01,0.14,0.32,0.86,54.9,0.68,47570000000,t
102,2024339,35.51,t,"2018-12-21 00:00:00",48,1.34304084720121,57.2741935483871,177.55,0.597107785438036,0.261531365313653,92.57,5.55,4.59,9.13,15.64,2.66,1540000000,t
102,2506679,43.02,t,"2018-07-12 00:00:00",48,1.62708018154312,69.3870967741936,215.1,0.723389944509837,0.607933579335793,92.57,5.55,4.59,9.13,15.64,2.66,1540000000,t
106,2249697,9.03,t,"2018-10-03 00:00:00",49,1.15031847133758,0.0957988542329726,-7.46280991735537,-6.06040268456376,0.766726943942134,38.69,1.85,-0.91,-11.97,1112.86,1.11,184760000,f
106,2879530,5.89,t,"2019-08-08 00:00:00",49,0.75031847133758,0.0624867388075536,-4.86776859504132,-3.95302013422819,0.198915009041591,38.69,1.85,-0.91,-11.97,1112.86,1.11,184760000,f
107,2050562,58.7,t,"2018-12-11 00:00:00",50,2.52581755593804,20.9642857142857,15.9510869565217,0.653674832962138,0.281155015197568,91.73,1.88,7.25,16.82,106.78,2.71,1940000000,f
107,1919057,55.32,t,"2019-01-25 00:00:00",50,2.38037865748709,19.7571428571429,15.0326086956522,0.616035634743875,0.178419452887538,91.73,1.88,7.25,16.82,106.78,2.71,1940000000,t
114,2637921,33.25,t,"2019-03-08 00:00:00",48,4.91863905325444,3.45993756503642,15.7582938388626,1.32840591290451,0.165520206362855,106.37,2.86,5.4,46.23,133.92,1.53,4030000000,t
119,1569663,1.99,t,"2019-05-25 00:00:00",53,4.62790697674419,15.3076923076923,3.85658914728682,0.0923862581244197,0.0956521739130435,63.6,0.92,5.83,50.8,465.31,2.03,863730000,t
